Sl. No. Col. (1),City Col. (2),Child Victims - Below 6 Years - Male - Col. (3),Child Victims - Below 6 Years - Female - Col. (4),Child Victims - Below 6 Years - Transgender - Col. (5),Child Victims - Below 6 Years - Total - Col. (6),Child Victims - 6 Years to 12 Years - Male - Col. (7),Child Victims - 6 Years to 12 Years - Female - Col. (8),Child Victims - 6 Years to 12 Years - Transgender - Col. (9),Child Victims - 6 Years to 12 Years - Total - Col. (10),Child Victims - 12 Years to 16 Years - Male - Col. (11),Child Victims - 12 Years to 16 Years - Female - Col. (12),Child Victims - 12 Years to 16 Years - Transgender - Col. (13),Child Victims - 12 Years to 16 Years - Total - Col. (14),Child Victims - 16 Years to 18 Years - Male - Col. (15),Child Victims - 16 Years to 18 Years - Female - Col. (16),Child Victims - 16 Years to 18 Years - Transgender - Col. (17),Child Victims - 16 Years to 18 Years - Total - Col. (18),Child Victims - Total Child Victims - Male - Col. (19),Child Victims - Total Child Victims - Female - Col. (20),Child Victims - Total Child Victims - Transgender - Col. (21),Child Victims - Total Child Victims - Total - Col. (22),Adult Victims - 18 Years to 30 Years - Male - Col. (23),Adult Victims - 18 Years to 30 Years - Female - Col. (24),Adult Victims - 18 Years to 30 Years - Transgender - Col. (25),Adult Victims - 18 Years to 30 Years - Total - Col. (26),Adult Victims - 30 Years to 60 Years - Male - Col. (27),Adult Victims - 30 Years to 60 Years - Female - Col. (28),Adult Victims - 30 Years to 60 Years - Transgender - Col. (29),Adult Victims - 30 Years to 60 Years - Total - Col. (30),Adult Victims - 60 Years & above - Male - Col. (31),Adult Victims - 60 Years & above - Female - Col. (32),Adult Victims - 60 Years & above - Transgender - Col. (33),Adult Victims - 60 Years & above - Total - Col. (34),Adult Victims - Total Adult Victims - Male - Col. (35),Adult Victims - Total Adult Victims - Female - Col. (36),Adult Victims - Total Adult Victims - Transgender - Col. (37),Adult Victims - Total Adult Victims - Total - Col. (38),Total Victims (Child + Adult) - Male - Col. (39),Total Victims (Child + Adult) - Female - Col. (40),Total Victims (Child + Adult) - Transgender - Col. (41),Total Victims (Child + Adult) - Total - Col. (42)
1,Ahmedabad (Gujarat),1,1,0,2,8,8,0,16,28,38,0,66,25,35,0,60,62,82,0,144,25,5,0,30,13,3,0,16,1,0,0,1,39,8,0,47,101,90,0,191
2,Bengaluru (Karnataka),3,4,0,7,29,9,0,38,109,239,0,348,62,327,0,389,203,579,0,782,17,10,0,27,29,3,0,32,0,0,0,0,46,13,0,59,249,592,0,841
3,Chennai (Tamil Nadu),1,3,0,4,1,2,0,3,1,7,0,8,2,8,0,10,5,20,0,25,19,3,0,22,18,4,0,22,5,0,0,5,42,7,0,49,47,27,0,74
4,Coimbatore (Tamil Nadu),0,3,0,3,0,1,0,1,0,2,0,2,0,0,0,0,0,6,0,6,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,5,6,0,11
5,Delhi City,56,51,0,107,294,286,0,580,662,1901,0,2563,432,1604,0,2036,1444,3842,0,5286,114,265,0,379,66,55,0,121,2,1,0,3,182,321,0,503,1626,4163,0,5789
6,Ghaziabad (Uttar Pradesh),0,0,0,0,0,6,0,6,0,9,0,9,0,28,0,28,0,43,0,43,6,1,0,7,0,0,0,0,0,0,0,0,6,1,0,7,6,44,0,50
7,Hyderabad (Telangana),0,0,0,0,0,18,0,18,0,36,0,36,0,54,0,54,0,108,0,108,0,0,0,0,55,294,0,349,47,9,0,56,102,303,0,405,102,411,0,513
8,Indore (Madhya Pradesh),4,4,0,8,28,34,0,62,64,195,0,259,84,286,0,370,180,519,0,699,2,4,0,6,2,0,0,2,1,0,0,1,5,4,0,9,185,523,0,708
9,Jaipur (Rajasthan),1,0,0,1,16,2,0,18,36,119,0,155,64,170,0,234,117,291,0,408,40,41,0,81,57,78,0,135,0,0,0,0,97,119,0,216,214,410,0,624
10,Kanpur (Uttar Pradesh),0,0,0,0,9,7,0,16,16,12,0,28,16,17,0,33,41,36,0,77,2,33,0,35,4,33,0,37,1,2,0,3,7,68,0,75,48,104,0,152
11,Kochi (Kerala),0,0,0,0,0,0,0,0,1,4,0,5,0,5,0,5,1,9,0,10,2,1,0,3,0,0,0,0,0,0,0,0,2,1,0,3,3,10,0,13
12,Kolkata (West Bengal),1,2,0,3,7,19,0,26,39,115,0,154,21,99,0,120,68,235,0,303,9,5,0,14,16,14,0,30,0,0,0,0,25,19,0,44,93,254,0,347
13,Kozhikode (Kerala),0,0,0,0,1,3,0,4,0,11,0,11,0,5,0,5,1,19,0,20,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,3,19,0,22
14,Lucknow (Uttar Pradesh),6,11,0,17,12,39,0,51,28,117,0,145,43,134,0,177,89,301,0,390,28,355,0,383,0,0,0,0,0,0,0,0,28,355,0,383,117,656,0,773
15,Mumbai (Maharashtra),15,7,0,22,72,49,0,121,192,551,0,743,170,541,0,711,449,1148,0,1597,13,10,0,23,7,0,0,7,0,0,0,0,20,10,0,30,469,1158,0,1627
16,Nagpur (Maharashtra),1,1,0,2,11,8,0,19,49,140,0,189,17,183,0,200,78,332,0,410,6,12,0,18,3,0,0,3,1,0,0,1,10,12,0,22,88,344,0,432
17,Patna (Bihar),0,0,0,0,8,17,0,25,17,21,0,38,28,6,0,34,53,44,0,97,72,52,0,124,160,95,0,255,59,14,0,73,291,161,0,452,344,205,0,549
18,Pune (Maharashtra),1,4,0,5,14,9,0,23,9,287,0,296,20,214,0,234,44,514,0,558,5,5,0,10,7,2,0,9,0,0,0,0,12,7,0,19,56,521,0,577
19,Surat (Gujarat),4,7,0,11,18,13,0,31,47,78,0,125,15,35,0,50,84,133,0,217,11,21,0,32,9,16,0,25,0,0,0,0,20,37,0,57,104,170,0,274
Total Cities,Total Cities,94,98,0,192,528,530,0,1058,1298,3882,0,5180,999,3751,0,4750,2919,8261,0,11180,371,823,0,1194,453,597,0,1050,117,26,0,143,941,1446,0,2387,3860,9707,0,13567
